HWP_ANGLE MOVE_START MOVE_END VAMP_PREFIX
00.00 20190226T160205 20190226T160211 HD154445
22.50 20190226T160250 20190226T160256 HD154445
45.00 20190226T160336 20190226T160342 HD154445
67.50 20190226T160421 20190226T160427 HD154445
00.00 20190226T160507 20190226T160513 HD154445
22.50 20190226T155346 20190226T155352 HD154445
45.00 20190226T155432 20190226T155438 HD154445
67.50 20190226T155517 20190226T155523 HD154445
00.00 20190226T155602 20190226T155608 HD154445
22.50 20190226T155648 20190226T155654 HD154445
45.00 20190226T155733 20190226T155739 HD154445
67.50 20190226T155818 20190226T155824 HD154445
00.00 20190226T155905 20190226T155911 HD154445
22.50 20190226T155949 20190226T155955 HD154445
00.00 20190226T051503 20190226T051509 HD283809
22.50 20190226T051531 20190226T051537 HD283809
45.00 20190226T051558 20190226T051604 HD283809
67.50 20190226T051624 20190226T051630 HD283809
00.00 20190226T051650 20190226T051656 HD283809
22.50 20190226T051717 20190226T051723 HD283809
45.00 20190226T051743 20190226T051749 HD283809
67.50 20190226T051809 20190226T051815 HD283809
00.00 20190226T093310 20190226T093316 HD34043
45.00 20190226T100805 20190226T100811 HD34043
67.50 20190226T100831 20190226T100837 HD34043
22.50 20190226T093340 20190226T093346 HD34043
45.00 20190226T093407 20190226T093413 HD34043
67.50 20190226T093433 20190226T093439 HD34043
00.00 20190226T100526 20190226T100532 HD34043
22.50 20190226T100554 20190226T100600 HD34043
45.00 20190226T100620 20190226T100626 HD34043
67.50 20190226T100647 20190226T100653 HD34043
00.00 20190226T100713 20190226T100719 HD34043
22.50 20190226T100739 20190226T100745 HD34043
00.00 20190226T100911 20190226T100917 HD34043
22.50 20190226T100957 20190226T101003 HD34043
45.00 20190226T101043 20190226T101049 HD34043
67.50 20190226T101129 20190226T101135 HD34043
00.00 20190226T101216 20190226T101222 HD34043
22.50 20190226T101304 20190226T101310 HD34043
45.00 20190226T101349 20190226T101355 HD34043
67.50 20190226T101435 20190226T101441 HD34043
00.00 20190226T101716 20190226T101722 HD34043
22.50 20190226T101806 20190226T101812 HD34043
45.00 20190226T101853 20190226T101859 HD34043
67.50 20190226T101941 20190226T101947 HD34043
00.00 20190226T074353 20190226T074359 HD34700
22.50 20190226T074605 20190226T074611 HD34700
45.00 20190226T074815 20190226T074821 HD34700
67.50 20190226T075030 20190226T075036 HD34700
00.00 20190226T075240 20190226T075246 HD34700
